"placa","h_perm_front","anoModelo","categoria","cor","dataEmissaoCrv","descricaoTipoDocumentoProprietario","marcaModelo","municipioEmplacamento","tipo","ufEmplacamento","descricao","ilicito"
"veiculo293",1.516,2023,"PARTICULAR","AZUL",1708570800000,"CNPJ","JEEP/RENEGADE LGTD T270","SAO JOSE DO RIO PRETO","CAMIONETA","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo294",84.335,2005,"PARTICULAR","VERMELHA",1649646000000,"CPF","PEUGEOT/206 10 SENSAT","CORONEL VIVIDA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo295",1.886,1996,"ALUGUEL","BRANCA",1697511600000,"CPF","SCANIA/R113 H 4X2 360","CIANORTE","CAMINHAO TRATOR","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo296",0.824,2018,"PARTICULAR","BRANCA",1646881200000,"CNPJ","FORD/KA SE 1.5 HA B","MARILIA","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo297",128.324,2010,"ALUGUEL","AMARELA",1389578400000,"CNPJ","SCANIA/MPOLO PARADISO R","CURVELO","ONIBUS","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo298",6.34,1995,"PARTICULAR","VERMELHA",1339642800000,"CPF","IMP/FIAT TIPO 1.6 IE","FOZ DO IGUACU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo299",1.861,2002,"PARTICULAR","PRETA",1668654000000,"CPF","FORD/KA GL","SAO MIGUEL DO IGUACU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo300",10.491,2015,"PARTICULAR","PRATA",1701226800000,"CPF","I/KIA SORENTO EX2 2.4G25","BAURU","CAMIONETA","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo301",4.556,2003,"PARTICULAR","PRATA",1686711600000,"CPF","GM/ASTRA SEDAN","CIANORTE","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo302",93.748,2010,"PARTICULAR","PRATA",1722481200000,"CNPJ","FIAT/PALIO FIRE ECONOMY","CORONEL VIVIDA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo303",3.453,2006,"PARTICULAR","PRATA",1691031600000,"CPF","GM/ASTRA HB 2P ADVANTAGE","COLORADO","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo304",29.246,2024,"PARTICULAR","PRETA",1689130800000,"CNPJ","HYUNDAI/HB20 10M COMFORT","BELO HORIZONTE","AUTOMOVEL","MG","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo305",4.668,2016,"ALUGUEL","AZUL",1601002800000,"CNPJ","SCANIA/COMIL CAMPIONE LD","CURITIBA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo306",33.773,2023,"PARTICULAR","BRANCA",1669086000000,"CNPJ","FIAT/ARGO 1.0","BELO HORIZONTE","AUTOMOVEL","MG","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",1
"veiculo307",2.334,2022,"PARTICULAR","VERMELHA",1663556400000,"CNPJ","FIAT/PULSE AUDACE TF200","BELO HORIZONTE","CAMIONETA","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo308",11.919,2019,"PARTICULAR","BRANCA",1591585200000,"CPF","I/VW AMAROK V6 HIGH AC4","SANCLERLANDIA","CAMINHONETE","GO","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo309",19.06,2011,"PARTICULAR","CINZA",1721271600000,"CPF","PEUGEOT/207HB XLINE","FOZ DO IGUACU","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo310",1.034,2011,"PARTICULAR","CINZA",1720666800000,"CPF","GM/ASTRA HB 4P ADVANTAGE","GUAIRA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo311",7.239,2021,"ALUGUEL","PRETA",1702868400000,"CPF","SR/RANDON SR BA","PONTA PORA","SEMI-REBOQUE","MS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo312",3.235,2024,"PARTICULAR","PRATA",1698721200000,"CNPJ","VW/POLO CL AB","BELO HORIZONTE","AUTOMOVEL","MG","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo313",10.426,2021,"PARTICULAR","PRETA",1608174000000,"CPF","CHEV/ONIX PLUS 10TAT LT1","MARINGA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo314",0.689,2007,"PARTICULAR","PRATA",1637895600000,"CPF","FIAT/PALIO FIRE FLEX","SANTA TEREZINHA DE ITAIPU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo315",25.006,2008,"PARTICULAR","PRETA",1645498800000,"CPF","GM/VECTRA HATCH 4P GT-X","IBITINGA","AUTOMOVEL","SP","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo316",7.39,2011,"PARTICULAR","PRATA",1712199600000,"CPF","CHEVROLET/CLASSIC LS","CAXIAS DO SUL","AUTOMOVEL","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo317",24.318,2016,"ALUGUEL","AZUL",1601607600000,"CNPJ","SCANIA/COMIL CAMPIONE LD","CURITIBA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo318",0.801,2010,"PARTICULAR","BRANCA",1722567600000,"CPF","VW/GOL 1.0 GIV","ALTONIA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo319",35.454,2023,"PARTICULAR","BRANCA",1708311600000,"CNPJ","FIAT/PULSE AUDACE TF200","UNIAO DA VITORIA","CAMIONETA","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo320",1.319,1998,"PARTICULAR","BRANCA",1696474800000,"CNPJ","GM/VECTRA GL","MANGUEIRINHA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo321",8.544,2014,"PARTICULAR","CINZA",1650942000000,"CPF","I/FORD FOCUS TI AT 2.0 S","GUARANIACU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo322",22.142,2000,"OFICIAL","VERMELHA",1713495600000,"CNPJ","VOLVO/NH12380 4X2T","QUERENCIA DO NORTE","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo323",2.741,2011,"PARTICULAR","PRETA",1703127600000,"CPF","I/BMW X1 SDRIVE1.8I VL31","CHAPECO","CAMIONETA","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo324",1.361,2006,"PARTICULAR","BRANCA",1722567600000,"CNPJ","GM/CLASSIC LIFE","ALTONIA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo325",6.07,2009,"ALUGUEL","BRANCA",1696302000000,"CNPJ","M.BENZ/AXOR 2544 S","MEDIANEIRA","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo326",2.854,2015,"PARTICULAR","BRANCA",1725246000000,"CPF","CHEV/PRISMA 1.0MT ADV","CURITIBA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo327",6.703,2023,"ALUGUEL","PRATA",1681873200000,"CNPJ","VOLVO/MPOLO PARADISO DD","LONDRINA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo328",17.79,2018,"PARTICULAR","VERMELHA",1686106800000,"CPF","I/TOYOTA HILUX CDSRVA4FD","SERRA","CAMINHONETE","ES","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo329",0.922,2004,"PARTICULAR","PRATA",1658458800000,"CPF","GM/CORSA SEDAN","MEDIANEIRA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo330",2.768,2004,"PARTICULAR","PRATA",1611630000000,"CPF","GM/MONTANA","CAMPO MOURAO","CAMINHONETE","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo331",25.153,2014,"PARTICULAR","CINZA",1713409200000,"CPF","HONDA/CIVIC LXR","BRASILIA","AUTOMOVEL","DF","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
